lettre	fichier	iiif
CAC_ED_creteil-ad-2j187-32	2 Num i 03917 - 2 J 187 piece 32 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.cf4343hl/c82f1522f2a91a2027725e3fff3cab388fec1d52/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-33	2 Num i 03920 - 2 J 187 piece 33 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f77bqma2/8b1cb1bd7819a2e0db25f23dff613c40887b034d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-33	2 Num i 03921 - 2 J 187 piece 33 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f77bqma2/4dd1c67fed1fb81acf861d8d6afb5fa4e929ca54/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-33	2 Num i 03923 - 2 J 187 piece 33 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f77bqma2/85384642970041c5505c8ea8fd8bdafad613b0a8/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-33	2 Num i 03922 - 2 J 187 piece 33 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.f77bqma2/d3a7b3fff850c648da4d96006cfd857bf4b74e83/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-34	2 Num i 03924 - 2 J 187 piece 34.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.a286q84j/bca90a660e8aed5824d513cea8cb734c1b36406d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-35	2 Num i 03928 - 2 J 187 piece 35 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d46brt5u/b2d22e471fdccea876f41aa49d106cbbdbf48158/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-35	2 Num i 03926 - 2 J 187 piece 35 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d46brt5u/83dbde73d5e47853eff9f7d9d2cee0ef88aaee41/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-35	2 Num i 03925 - 2 J 187 piece 35 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d46brt5u/6db6f76507f562bc80966c7f2efd21590c3b5aeb/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-35	2 Num i 03927 - 2 J 187 piece 35 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.d46brt5u/da713230345dc87d97bfa8b54cd2dc518219c769/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-36	2 Num i 03929 - 2 J 187 piece 36 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.8876pt1t/aef508e0576741bfabd8e7c135abfff216ba2d26/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-36	2 Num i 03930 - 2 J 187 piece 36 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.8876pt1t/c85438f96b3b968174917840b23fb211c75f86ae/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-37	2 Num i 03932 - 2 J 187 piece 37 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.39d0788p/12d39e1c0111d644e11af634b45ba3b6252648c2/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-37	2 Num i 03933 - 2 J 187 piece 37 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.39d0788p/c0f239f502a3680c72d75556455db3016b76cb2b/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-37	2 Num i 03931 - 2 J 187 piece 37 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.39d0788p/61fb371c16b8f59ca10c5efd675767add18d9b9c/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-38	2 Num i 03934 - 2 J 187 piece 38.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.cadbnhag/2beddeeb261d2a3314fbfa6843fe36be874522ed/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-39	2 Num i 03935 - 2 J 187 piece 39 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.0c3et96i/d2d638ebb59e0286f16cdc379b09f52b46de5d6a/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-39	2 Num i 03936 - 2 J 187 piece 39 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.0c3et96i/5ca46eac9c576bc2f573efe06265ff4308a569d7/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-39	2 Num i 03937 - 2 J 187 piece 39 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.0c3et96i/0b0c22302599ebc8ad9b5cbc51d06acbbb3636c2/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-40	2 Num i 03938 - 2 J 187 piece 40 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.13beb0x7/21fd5aeda2bf8b92839c4fa88408db1058347b10/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-40	2 Num i 03939 - 2 J 187 piece 40 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.13beb0x7/8168a0725069964317a2a7329088d33cc8addf09/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-40	2 Num i 03941 - 2 J 187 piece 40 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.13beb0x7/513833c1952c8fd6b3c39ee0808b2f82ce658b9c/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-40	2 Num i 03940 - 2 J 187 piece 40 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.13beb0x7/717a5312b66beffda3817a5901576d7fa11f7e01/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-41	2 Num i 03942 - 2 J 187 piece 41 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.4dfco2n8/7daa9bdf0506ba40099e5c1973091f595eb14e1f/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-41	2 Num i 03943 - 2 J 187 piece 41 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.4dfco2n8/30ade9e89d7ed379ab10e26478183fa19abdbb12/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-42	2 Num i 03946 - 2 J 187 piece 42 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.a4c5184o/eadfc5046bd11c76922c5bab6066698d1509b4d5/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-42	2 Num i 03944 - 2 J 187 piece 42 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.a4c5184o/bdd1e77794f95424e0814ca0d514e5f83ca99a62/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-42	2 Num i 03945 - 2 J 187 piece 42 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.a4c5184o/cac0587221be2ac24568a4eb904da98d16b5d8b1/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-43	2 Num i 03947 - 2 J 187 piece 43 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.fb1067ep/e7bc4711b9831bd4277598a5db0a971a80f03cac/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-43	2 Num i 03950 - 2 J 187 piece 43 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.fb1067ep/fbc22ad16e4d9a46a816c08f109b6de7f5a05bc4/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-43	2 Num i 03949 - 2 J 187 piece 43 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.fb1067ep/0b9e2854727554ff58a1c1274f604553d5252298/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-43	2 Num i 03948 - 2 J 187 piece 43 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.fb1067ep/bc5f5a6474eb0855d6d973927155b90212100070/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-44	2 Num i 03951 - 2 J 187 piece 44 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.1e42tq70/68da6a6d520feeea4b7eee162438c80e8456930d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-44	2 Num i 03952 - 2 J 187 piece 44 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.1e42tq70/6660c27415bc7474cb69ef0186dd255125f58f18/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-44	2 Num i 03953 - 2 J 187 piece 44 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.1e42tq70/d4bb2ca439e706c042d5319ed42931e99f49b5be/full/full/0/default.jpg
